City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Thanatpin,MM,73.4,clear sky,17.21,96.3,Lo Ta Ya Garden
250,Carutapera,BR,79.16,moderate rain,-1.2,-46.02,Lidera
251,Wanning,CN,72.1,clear sky,18.8,110.4,Paradise Hotel
252,Asilah,MA,55.4,light intensity drizzle,35.47,-6.03,Hotel Zelis
255,Simao,CN,51.53,clear sky,22.79,100.97,Changyu Hotel
256,Ambikapur,IN,52.68,clear sky,23.12,83.2,STARiHOTEL Ambikapur
257,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
258,Vao,NC,77.85,broken clouds,-22.67,167.48,Hotel Kou-Bugny
261,Richards Bay,ZA,72.03,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
262,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
265,Pontes E Lacerda,BR,73.45,overcast clouds,-15.23,-59.34,Hotel Bressan
266,Huarmey,PE,70.5,overcast clouds,-10.07,-78.15,Hotel Miramar
267,Basoko,CD,72.99,overcast clouds,1.24,23.62,Flat Hotel La Benediction
269,Alanya,TR,57.2,light rain,36.54,32.0,Panorama Hotel
272,Guasdualito,VE,75.36,overcast clouds,7.24,-70.73,Hotel Cuibas
282,Vaitape,PF,81.99,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
283,Mangrol,IN,57.88,clear sky,21.12,70.12,Hotel The Royal Honours
292,Empalme,MX,64.4,fog,27.97,-110.82,El Limonal
293,Gelemso,ET,54.88,broken clouds,8.82,40.52,Bahar Lami
295,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
298,Kaya,BF,66.76,clear sky,13.09,-1.08,Maison de l'appelé
299,Choix,MX,68.29,overcast clouds,26.71,-108.32,Hotel Montesclaros
301,Faanui,PF,81.07,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Beira,MZ,82.4,scattered clouds,-19.84,34.84,Beira Terrace Hotel
307,Katherine,AU,82.4,broken clouds,-14.47,132.27,Pine Tree Motel
310,Nantucket,US,48.2,overcast clouds,41.28,-70.1,Jared Coffin House
312,Tocopilla,CL,69.51,few clouds,-22.09,-70.2,Hotel Galvarino
313,Ribeira Grande,PT,58.08,overcast clouds,38.52,-28.7,Quinta da Meia Eira
316,Constantine,DZ,46.4,scattered clouds,36.37,6.61,Grand Hotel Cirta
317,Yeppoon,AU,86.0,scattered clouds,-23.13,150.73,Villa Mar Colina
319,Hambantota,LK,73.4,few clouds,6.12,81.12,Bungalow 63
322,Athens,GR,57.0,broken clouds,37.98,23.72,Novotel Athenes
323,Sao Filipe,CV,74.71,scattered clouds,14.9,-24.5,Tortuga B&B
324,Myitkyina,MM,52.5,clear sky,25.38,97.4,Shwe Phyu Hotel
325,Srikakulam,IN,62.73,clear sky,18.3,83.9,Sriram residency
328,Cockburn Town,TC,77.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
329,Coquimbo,CL,60.8,few clouds,-29.95,-71.34,Hotel San Juan
331,Diamantino,BR,74.5,scattered clouds,-14.41,-56.45,Hotel Delta
336,Arlit,NE,61.11,clear sky,18.74,7.39,Hôtel Telwa Bungalow
338,Sinnamary,GF,78.28,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
339,Ponta Delgada,PT,55.4,broken clouds,37.73,-25.67,Vila Nova Hotel
340,Faya,SA,51.8,clear sky,18.39,42.45,مقبرة ال مجمل
342,Port Blair,IN,78.8,mist,11.67,92.75,Welcomhotel Bay Island Port Blair
343,Pacific Grove,US,53.6,few clouds,36.62,-121.92,Lovers Point Inn
345,Celestun,MX,71.49,clear sky,20.87,-90.4,Posada Lilia
347,Oyama,JP,50.0,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
348,Noumea,NC,86.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
350,Knysna,ZA,64.4,overcast clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
351,Charleston,US,55.0,clear sky,32.78,-79.93,French Quarter Inn
352,Piquete,BR,68.0,moderate rain,-22.61,-45.18,Julimar Eventos - Antiga Fazenda Santa Lidia
353,Batemans Bay,AU,63.0,overcast clouds,-35.72,150.18,Batemans Bay Marina Resort
357,Nelson Bay,AU,72.0,overcast clouds,-32.72,152.15,Mantra Nelson Bay
358,Tezu,IN,56.12,clear sky,27.92,96.17,Circuit House
359,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
361,Daru,PG,78.98,overcast clouds,-9.08,143.21,Daru Lodge
362,Thohoyandou,ZA,70.39,light rain,-22.95,30.48,Masili Guesthouse & Conference
364,Tabuk,PH,78.49,overcast clouds,17.42,121.44,Golden Berries Hotel and Convention
365,Marsa Matruh,EG,53.6,clear sky,31.35,27.25,Beau Site
367,Rio Grande,BR,71.01,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
368,Laguna,US,54.0,broken clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
369,Yicheng,CN,54.0,overcast clouds,31.37,119.87,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
370,Zwedru,LR,72.63,clear sky,6.07,-8.13,Elijah Worjloh
371,Ambilobe,MG,75.43,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
372,Kiama,AU,62.01,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
373,Rocha,UY,63.27,clear sky,-34.48,-54.33,Beleza Pura B&B
375,Hays,US,68.0,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
376,Poindimie,NC,81.95,scattered clouds,-20.93,165.33,hotel de la plage
379,Palmares,BR,70.83,clear sky,-8.68,-35.59,Destak Hotel Residence
381,Tautira,PF,86.0,scattered clouds,-17.73,-149.15,Pension Oaoa
382,Alofi,NU,84.2,shower rain,-19.06,-169.92,Taloa Heights
383,Trenggalek,ID,80.17,overcast clouds,-8.05,111.72,OYO 2966 Hotel Atriaz
387,Chuzhou,CN,46.0,light rain,32.32,118.3,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
389,Saldanha,ZA,60.8,clear sky,-33.01,17.94,Blue Bay Lodge
391,Porbandar,IN,59.18,clear sky,21.64,69.61,Lords Inn Porbandar
393,Ulladulla,AU,60.8,overcast clouds,-35.35,150.47,Sandpiper Motel
395,Benguela,AO,75.42,overcast clouds,-12.58,13.41,Hotel Praia Morena
398,Iracoubo,GF,78.6,clear sky,5.48,-53.2,Le Gite D Iracoubo
399,Bhandara,IN,60.8,mist,21.17,79.65,STARiHOTELS Bhandara
400,Bengkulu,ID,76.15,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
402,Salvador,SV,73.4,clear sky,13.83,-88.92,Chico's Ranch
403,Mercedes,AR,80.01,few clouds,-34.65,-59.43,Posada del Inti Centro
404,Launceston,AU,64.99,overcast clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
407,Vila Franca Do Campo,PT,55.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
408,Sao Joao Da Barra,BR,75.81,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
410,Pampas,PE,49.8,light rain,-12.4,-74.9,Pamuri Andes Lodge
411,Sur,OM,67.39,clear sky,22.57,59.53,Sur Plaza Hotel
412,Puerto Madryn,AR,73.11,broken clouds,-42.77,-65.04,Hotel Tolosa
415,Port Maria,JM,78.01,overcast clouds,18.37,-76.89,Galina Breeze Hotel
418,San Policarpo,PH,82.74,broken clouds,12.18,125.51,JM Lodge
419,Saint-Joseph,RE,77.0,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
420,Puerto Princesa,PH,78.8,few clouds,9.74,118.74,Deep Forest Garden Inn
422,Gaoual,GN,71.87,scattered clouds,11.75,-13.2,Hotel koliba
423,Dingle,PH,81.34,overcast clouds,11.0,122.67,SEGAYA PROPERTY
424,Sri Aman,MY,77.0,light rain,1.24,111.46,Seri Simanggang Hotel
425,Betioky,MG,76.44,overcast clouds,-23.72,44.38,Bungalows Acacias Hotel
428,Kaitangata,NZ,60.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
432,Port Shepstone,ZA,70.0,clear sky,-30.74,30.45,My Den Beachfront B&B And Self-Catering
433,Itaituba,BR,76.05,moderate rain,-4.28,-55.98,Hotel Campos
434,Coahuayana,MX,77.0,clear sky,18.73,-103.68,Hotel Los Arcos
435,Ancud,CL,64.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
437,Touros,BR,77.0,light rain,-5.2,-35.46,INN NEW HORIZON
438,Kangundo,KE,62.6,clear sky,-1.3,37.35,New Musemei Hotel
439,Vega De Alatorre,MX,69.67,clear sky,20.03,-96.63,El Polo Norte
443,Shakawe,BW,72.43,overcast clouds,-18.37,21.85,Ditlhapi Guest House
444,Teresina,BR,84.2,clear sky,-5.09,-42.8,Metropolitan Hotel‎
446,Morant Bay,JM,82.4,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
449,Takoradi,GH,79.48,broken clouds,4.88,-1.76,Raybow International Hotel
450,Santa Rosa,PH,84.0,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
452,Dakar,SN,71.6,clear sky,14.69,-17.44,Novotel Dakar
453,Esperance,AU,68.0,overcast clouds,-33.87,121.9,Hospitality Esperance
454,Peniche,PT,54.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
457,Brigantine,US,45.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
458,Loreto,MX,58.14,clear sky,22.27,-101.97,José de Jesús Velásquez mora
461,Mackay,AU,80.01,light rain,-21.15,149.2,International Lodge Motel
462,Byron Bay,AU,82.4,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
463,Tamandare,BR,76.77,clear sky,-8.76,-35.1,Pousada 100 Passos
464,Puerto Carreno,CO,77.81,light rain,6.19,-67.49,Casa Hotel Victoria
466,Kudahuvadhoo,MV,82.44,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
468,Santa Fe,AR,82.99,clear sky,-31.63,-60.7,Conquistador Hotel
469,Japura,ID,76.95,light rain,-0.32,102.35,Rumah mbah Jamah
471,Mendi,PG,66.02,light rain,-6.18,143.65,Kiburu Lodge
473,Camana,PE,72.39,overcast clouds,-16.62,-72.71,Hostal Morales
474,Butembo,CD,57.96,clear sky,0.15,29.28,Hotel Butembo
475,Vredendal,ZA,56.98,clear sky,-31.67,18.5,Tharrakamma Guest House
477,Tagusao,PH,82.06,clear sky,9.19,117.81,Toledo
480,Delvada,IN,58.05,clear sky,20.77,71.03,Hotel Shivam
482,Inhambane,MZ,76.62,overcast clouds,-23.86,35.38,Oceano
483,General Roca,AR,87.8,clear sky,-39.03,-67.58,Hotel El Recreo
484,Nanakuli,US,82.4,clear sky,21.39,-158.15,Camp Pālehua
486,North Bend,US,51.8,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
487,Atambua,ID,82.31,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
491,Tutoia,BR,81.09,clear sky,-2.76,-42.27,Pousada Guará's
492,Wahiawa,US,82.4,broken clouds,21.5,-158.02,Aloha Wahiawa
493,Kihei,US,84.2,scattered clouds,20.79,-156.47,Maui Sunset
495,Qui Nhon,VN,72.45,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
497,Lagoa,PT,56.53,overcast clouds,39.05,-27.98,Casa Das Faias
499,Nishihara,JP,73.4,broken clouds,26.18,127.76,Minshuku Agaihama
501,Rock Sound,BS,71.89,clear sky,24.9,-76.2,Rock Sound Club
503,Morro Bay,US,50.0,scattered clouds,35.37,-120.85,Inn at Morro Bay
504,Tha Chang,TH,79.0,few clouds,9.26,99.19,สุริยาค้าไม้
505,Quelimane,MZ,80.6,broken clouds,-17.88,36.89,Hotel Flamingo
506,Graaff-Reinet,ZA,66.0,clear sky,-32.25,24.53,Rietjiesbos B&B
507,Wenzhou,CN,58.87,clear sky,28.0,120.67,温州喜来登酒店
509,Olinda,BR,78.8,broken clouds,-8.01,-34.86,Hotel 5 Sóis
510,Maragogi,BR,76.08,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
511,Ahipara,NZ,65.73,clear sky,-35.17,173.17,Ahipara Holiday Park
514,Acarau,BR,80.06,overcast clouds,-2.89,-40.12,castelo pizzaria
515,Diego De Almagro,CL,59.14,clear sky,-26.37,-70.05,hotel luna del desierto
517,Banda Aceh,ID,78.51,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
518,Isangel,VU,83.39,broken clouds,-19.55,169.27,Volcano Sea View Tree House
519,Tuy Hoa,VN,72.88,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
520,Payo,ID,75.51,overcast clouds,-3.75,103.64,Mess keban agung
523,Gigmoto,PH,83.3,overcast clouds,13.78,124.39,Cj's Travellers Inn
526,Santa Lucia,ES,64.4,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
527,Seminole,US,62.6,clear sky,28.71,-81.21,Ono Hot Dog Cart and Catering
528,Carroll,US,50.0,broken clouds,39.55,-77.02,Best Western Westminster Hotel
529,Dillon,US,50.0,clear sky,34.42,-79.37,Dillon Express Inn
531,Lucapa,AO,66.96,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
533,Batticaloa,LK,76.55,broken clouds,7.71,81.69,Grand Star Guest House
534,Lakes Entrance,AU,64.99,few clouds,-37.88,147.98,The Esplanade Resort & Spa
535,Barra,BR,77.47,few clouds,-11.09,-43.14,Motel Albatroz
536,Alice Springs,AU,80.01,broken clouds,-23.7,133.88,Desert Palms Alice Springs
541,Kalmunai,LK,76.06,few clouds,7.42,81.82,VS Villa
542,Aswan,EG,60.71,clear sky,24.09,32.91,Nuba Nile
544,Wellington,NZ,60.8,clear sky,-41.29,174.78,CityLife Wellington
545,Presidencia Roque Saenz Pena,AR,81.48,light rain,-26.79,-60.44,Hotel Aconcagua
546,Aden,YE,76.55,clear sky,12.78,45.04,Sama Emirate Hotel
550,Zemio,CF,72.43,overcast clouds,5.03,25.14,OCHA Office
554,Moyo,UG,69.93,few clouds,3.66,31.72,"Multi Purpose Training Center, Moyo"
556,Wagga Wagga,AU,73.99,clear sky,-35.12,147.37,The Club Motel and Apartments
558,Maumere,ID,83.55,light rain,-8.62,122.21,Sylvia Hotel
563,Nouadhibou,MR,66.2,few clouds,20.93,-17.03,El Medina
564,Impfondo,CG,74.71,overcast clouds,1.64,18.07,Préfecture de la Likouala
565,Joaima,BR,69.84,few clouds,-16.65,-41.03,Hotel Lorde
566,Codrington,AU,65.61,broken clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
571,San Juan Del Sur,NI,79.16,few clouds,11.25,-85.87,Nuestra Casa
572,Palasa,IN,62.94,clear sky,18.77,84.42,Malla Krishana apartment
573,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
